fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
teamtype,,,,PricebookEntry,,
telephone1,,,,PricebookEntry,,
title,,,,PricebookEntry,,
tm.systemuserid,,,,PricebookEntry,,
to,,,,PricebookEntry,,
totalamount,,,,PricebookEntry,,
transactioncurrencyid,,,,PricebookEntry,,
uomid,,,,PricebookEntry,,
value,,,,PricebookEntry,,
zipcode,,,,PricebookEntry,,
{0},,,,PricebookEntry,,
